Iteración,x3,f(x3),Error Relativo,Error Porcentual
54,(36.4035110823301-28.18958902417734j),(-5.25033054349298e-15+4.829356364998677e-15j),0.772270180802615,1.6773156544226342
55,(36.969690819655824-28.714438748796077j),(-4.017853387558417e-15+8.99599739276738e-16j),0.7720276733321072,1.6492413865064424
56,(37.53558672144892-29.239250576351033j),(-2.2680872705446973e-15-7.093839707169364e-16j),0.7717937716824355,1.6220978838834728
57,(38.10120823771157-29.76402626151488j),(-9.291932864660154e-16-1.008959674542141e-15j),0.7715680264231017,1.59583940781738
58,(38.66656435240458-30.288767450256405j),(-1.7343429512232852e-16-7.72467121614341e-16j),0.7713500188517828,1.5704231780103342
59,(39.23166361368112-30.81347568823255j),(1.361574733629579e-16-4.362077823657516e-16j),0.7711393584141093,1.5458091365875177
60,(39.79651416170268-31.338152428408034j),(1.939184767384045e-16-1.787870738236166e-16j),0.7709356803790011,1.5219597343705344
61,(40.36112375426602-31.862799037984846j),(1.4852740183184834e-16-3.343168862806192e-17j),0.7707386437405253,1.4988397370174162
62,(40.92549979044497-32.3874168047139j),(8.389860746606983e-17+2.6139669559980828e-17j),0.7705479293209734,1.4764160489037277
63,(41.48964933242914-32.91200694265259j),(3.440148395060566e-17+3.7274778319727297e-17j),0.7703632380529859,1.4546575528755648
64,(42.05357912572231-33.43657059742459j),(6.443569855424814e-18+2.8560666926370036e-17j),0.7701842894213254,1.4335349642273965
65,(42.61729561784638-33.961108851031646j),(-5.0193225213581984e-18+1.6137637543805248e-17j),0.7700108200472296,1.4130206974504158
66,(43.180804975681895-34.48562272626161j),(-7.165640752008258e-18+6.619534720936892e-18j),0.7698425824004215,1.3930887444649935
67,(43.744113101562824-35.01011319073191j),(-5.4923821410598836e-18+1.241783331868753e-18j),0.7696793436254812,1.373714563196797
68,(44.30722564823167-35.534581160603345j),(-3.104172610590541e-18-9.639762223813184e-19j),0.7695208844709408,1.3548749754841338
69,(44.87014803275053-36.05902750399547j),(-1.2737539618529556e-18-1.3776335388170627e-18j),0.7693669983107977,1.3365480734159358
70,(45.43288544945449-36.583453044131176j),(-2.3928829617845003e-19-1.0562822925544719e-18j),0.7692174902491957,1.3187131332977375
71,(45.99544288202554-37.10785856223547j),(1.8516338223692212e-19-5.971313081646946e-19j),0.7690721763002311,1.301350536529566
72,(46.557825114757804-37.63224480021069j),(2.648784142379534e-19-2.4510392418921007e-19j),0.7689308826355801,1.2844416967553542
73,(47.12003674307824-38.156612463108125j),(2.0315284744943798e-19-4.610605847239571e-20j),0.768793444893508,1.2679689927105986
74,(47.68208218338131-38.680962221414j),(1.1487081254674666e-19+3.5571654886974585e-20j),0.7686597075435273,1.2519157062542203
75,(48.2439656822306-39.20529471316602j),(4.716508945293241e-20+5.0931886653897194e-20j),0.7685295233014799,1.236265965122821
76,(48.80569132497571-39.72961054591503j),(8.882994593719285e-21+3.90739022977376e-20j),0.768402752590523,1.2210046899922575
77,(49.3672630438286-40.253910298544874j),(-6.834501985106654e-21+2.2098538645002464e-20j),0.7682792630437879,1.2061175454724224
78,(49.92868462543955-40.77819452296245j),(-9.793997859707523e-21+9.076030690009999e-21j),0.7681589290450807,1.1915908946980989
79,(50.48995971800957-41.30246374566861j),(-7.515697806259351e-21+1.711311633706665e-21j),0.7680416313041923,1.177411757211181
80,(51.051091837972926-41.82671846921968j),(-4.251379236742089e-21-1.3132821351412799e-21j),0.7679272564638996,1.1635677698589906
81,(51.61208437628063-42.35095917358845j),(-1.746527751360901e-21-1.883451578642692e-21j),0.7678156967358643,1.1500471504592311
82,(52.172940604313176-42.87518631743266j),(-3.2966293546423244e-22-1.4456677853960982e-21j),0.7677068495630044,1.1368386640055768
83,(52.73366367944854-43.39940033927824j),(2.523787578128762e-22-8.179131983923346e-22j),0.7676006173061488,1.1239315912087988
84,(53.29425665030926-43.923601658623994j),(3.6221854313454836e-22-3.3609242172131903e-22j),0.7674969069529083,1.1113156991869229
85,(53.854722461710594-44.447790676973774j),(2.780882625771417e-22-6.3501662677798e-23j),0.7673956298469939,1.0989812141349244
86,(54.41506395933001-44.971967778801655j),(1.57360054960171e-22+4.850505557340908e-23j),0.7672967014363148,1.086918795819492
87,(54.97528389411665-45.49613333245514j),(6.467630231686524e-23+6.96636998368569e-23j),0.7672000410383257,1.0751195137580178
88,(55.53538492645788-46.02028769100111j),(1.223140531774962e-23+5.349464278237719e-23j),0.7671055716213075,1.0635748249533732
89,(56.09536963011901-46.544431193018596j),(-9.323028666770722e-24+3.0275455578786214e-23j),0.7670132196002921,1.0522765530669937
90,(56.65524049597069-47.06856416334238j),(-1.339862307397505e-23+1.2446134413384926e-23j),0.7669229146465378,1.0412168689229464
91,(57.21499993551766-47.59268691376085j),(-1.0290823014766019e-23+2.355840946167433e-24j),0.7668345895094762,1.03038827224461
92,(57.77465028424147-48.11679974367153j),(-5.824986271664458e-24-1.7920892403416207e-24j),0.7667481798502409,1.019783574533959
93,(58.33419380476873-48.64090294069707j),(-2.395114611901245e-24-2.5770921565834617e-24j),0.7666636240858399,1.0093958830107195
94,(58.893632689875844-49.16499678126467j),(-4.537281772461177e-25-1.9797072681984678e-24j),0.7665808632432629,0.9992185855356424
95,(59.452969065340135-49.68908153115131j),(3.445022094437365e-25-1.1207439192159242e-24j),0.7664998408227343,0.9892453364480955
96,(60.01220499264683-50.2131574459972j),(4.956948838053591e-25-4.609144641073406e-25j),0.7664205026694733,0.979470043253884
97,(60.57134247156042-50.73722477178956j),(3.808569632193524e-25-8.73830786654178e-26j),0.766342796853346,0.9698868541042689
98,(61.130383442568665-51.261283745318835j),(2.156375909134894e-25+6.622952553774505e-26j),0.766266673555879,0.9604901460118335
99,(61.689329789206546-51.78533459460895j),(8.869851554927529e-26+9.534816956816401e-26j),0.766192084964028,0.9512745137529336
100,(62.248183340267346-52.309377539323584j),(1.6828375565928142e-26+7.327097940616529e-26j),0.766118985170354,0.9422347594106085
